GuestID,GuestName,PhoneNumber,Age,LoyaltyMember
1001,Andrew Patel,5388284537,24,True
1002,Joseph Hill,7118631902,30,False
1003,Amy Smith,6603279987,62,True
1004,Melissa Bell,7391615154,34,False
1005,Andrew Ivanova,4241841383,46,False
1006,Ryan Hughes,4340178968,47,True
1007,Aisha Stewart,8971318869,62,False
1008,Jennifer Brooks,7492921696,27,True
1009,Timothy Williams,8051029010,55,True
1010,Christine Robinson,9292503191,52,True
1011,Jeffrey Thomas,8402622593,19,False
1012,Donald Johnson,9554167458,52,False
1013,Sandra King,8498387841,63,False
1014,Jason Kim,2892433147,19,False
1015,Barbara Adams,3624451614,52,True
1016,Ingrid Martin,7407384348,79,False
1017,Nicole Mitchell,4118652415,42,True
1018,Karen Foster,9973388257,41,False
1019,Thomas Bailey,4096951945,61,True
1020,Steven Chen,3112503296,35,False
1021,Katherine Harris,2039465237,25,False
1022,Cynthia Baker,8396907555,44,False
1023,Zoe James,6373343573,61,True
1024,Richard Robinson,2971171264,24,False
1025,Jonathan Wood,5506994585,26,False
1026,Helen Reed,7328676240,34,False
1027,Jeffrey Robinson,2094353493,68,False
1028,Kimberly Gray,3233220357,23,True
1029,Helen Kelly,6279750879,21,False
1030,Michelle Brown,3490162536,80,True
1031,Raymond Brown,9436115253,62,False
1032,David Richardson,7469411932,48,True
1033,Linda Nguyen,2321698837,77,False
1034,Kenneth Singh,3691727253,60,True
1035,Larry Brooks,4545802352,76,True
1036,Scott Adams,3172042935,25,True
1037,Amara Anderson,2966532858,29,True
1038,Deborah Ramirez,5938235425,24,True
1039,Fatima Richardson,8924890790,76,True
1040,Wei Cooper,7979497889,46,True
1041,Zoe Reed,6055484969,28,False
1042,Nancy Flores,6357022161,69,False
1043,Kenneth Lopez,3415699224,68,False
1044,Joshua Scott,7369465506,77,False
1045,William Howard,3505761872,73,False
1046,Angela Osei,5420169388,47,False
1047,Edward Anderson,7282520563,55,False
1048,Debra Long,5925353417,40,False
1049,Kenneth Rogers,9756070739,64,True
1050,George Nakamura,9859770465,26,True
1051,Jonathan Hughes,8498919479,35,False
1052,Rachel Price,7792778954,48,True
1053,Amara Hall,6729354274,27,False
1054,Laura Hernandez,8679353075,39,False
1055,Christine Watson,5092698949,47,True
1056,James Sanchez,6809267662,23,False
1057,Margaret Ross,6711006061,65,True
1058,Kenneth Lopez,5730162960,47,False
1059,Michelle Moore,5709932767,50,False
1060,Daniel Ramirez,4309147877,37,False
1061,Samuel Scott,4209806241,73,True
1062,Jennifer Howard,2001735599,29,False
1063,Mary Gonzalez,2224398184,76,True
1064,Sofia Carter,4660760953,72,True
1065,Justin Wilson,4097872018,27,False
1066,Cynthia Lee,4273664804,76,True
1067,Nadia Hall,6888255019,29,False
1068,Nicholas Ross,2396223226,25,False
1069,Patricia Chen,9280866704,46,False
1070,Brandon Morales,3351267576,59,False
1071,Dorothy Torres,2873515101,31,False
1072,Robert Garcia,2955346494,66,False
1073,Ryan Wood,4105221332,74,False
1074,Kathleen James,5671677929,19,False
1075,Brian Flores,9488768377,25,True
1076,Helen Morris,6600037976,32,True
1077,Nicholas Davis,9678982564,37,True
1078,Ravi Edwards,6728040364,29,True
1079,George Adams,4363857643,63,True
1080,Margaret James,7166117152,66,True
1081,Donna Reyes,2454061266,34,True
1082,Emily James,2407477189,71,True
1083,Eric Wood,7342344190,80,False
1084,Dorothy Rogers,4839796234,25,True
1085,Debra Kowalski,2264832943,20,True
1086,Christine Ross,6257655440,59,False
1087,Emily Patel,4986418035,31,False
1088,Sharon Anderson,8578607148,22,False
1089,Ravi Phillips,4876375168,78,False
1090,Kathleen Patel,5122537525,38,False
1091,Ingrid Rodriguez,4882242253,69,False
1092,Jessica Scott,4806919955,29,True
1093,Benjamin Ross,4030267709,76,False
1094,Jessica Gomez,5910217174,57,False
1095,Wei Myers,8704284555,27,False
1096,Liam Garcia,8883748419,71,True
1097,Mei Hassan,9257328685,28,False
1098,Aisha Kelly,7131008998,54,False
1099,Timothy Wood,3165286817,34,True
1100,David Sanders,3197617428,78,False
1101,Yuki Nguyen,5402219557,59,True
1102,Joseph Harris,3379789046,20,False
1103,Kwame Kim,4966575263,72,False
1104,Debra Davis,9824020246,43,True
1105,Laura Smith,9110073949,67,False
1106,Elena Flores,5294426138,32,True
1107,Steven Patel,6469910451,44,True
1108,Samantha Davis,8505840842,68,False
1109,Rachel Hall,2571246344,22,True
1110,Samantha Brown,3738284413,70,False
1111,Sharon Hassan,2787432275,61,False
1112,Karen Edwards,8396878587,69,False
1113,Scott Harris,3696167310,66,False
1114,Yuki Flores,6259171680,32,False
1115,Liam Jones,7166923287,67,True
1116,Deborah Lee,3429453762,20,False
1117,Kimberly Cook,8902271546,45,True
1118,Sharon King,3939069576,79,False
1119,Debra Nelson,9532241570,51,False
1120,Sofia Bell,8529724092,32,False
1121,Christine Bell,5920328838,44,False
1122,Sandra Diaz,5921925236,35,True
1123,Gregory Sanders,8560134974,37,False
1124,Zoe Wright,6788664414,56,False
